SenIP,SenR,SenDFL,SenIPFirst,SenRFirst,SenDFLFirst
7,192,227,7,1,2
4,28,83,4,2,8
10,226,277,1,2,2
3,23,28,3,2,2
2,21,22,2,2,2
5,121,231,5,1,2
4,52,52,4,5,5
0,0,0,0,0,0
3,17,45,3,1,4
0,16,59,0,1,5
3,59,55,3,5,5
0,49,30,0,4,3
0,36,37,0,3,3
1,22,33,1,2,3
9,62,79,9,6,7
3,33,77,3,3,7
34,347,467,3,3,4
23,376,480,2,3,4
1,96,19,1,9,1
3,80,62,3,8,6
14,142,160,1,1,1
0,53,47,0,5,4
4,41,45,4,4,4
6,33,43,6,3,4
2,68,29,2,6,2
13,190,164,1,1,1
9,104,158,9,1,1
48,1016,928,4,1,9
24,500,451,2,5,4
16,542,477,1,5,4
26,432,372,2,4,3
14,350,307,1,3,3
12,209,191,1,2,1
26,771,464,2,7,4
36,883,832,3,8,8
19,455,324,1,4,3
27,481,414,2,4,4
44,755,635,4,7,6
35,473,356,3,4,3
16,227,330,1,2,3
15,171,122,1,1,1
16,144,132,1,1,1
13,229,204,1,2,2
0,6,6,0,6,6
31,193,200,3,1,2
16,423,343,1,4,3
12,186,223,1,1,2
79,1716,1346,7,1,1
2,36,47,2,3,4
4,107,173,4,1,1
11,97,109,1,9,1
8,102,139,8,1,1
0,27,34,0,2,3
2,20,21,2,2,2
5,62,87,5,6,8
34,379,685,3,3,6
9,103,109,9,1,1
0,46,61,0,4,6
2,72,78,2,7,7
1,26,33,1,2,3
1,19,16,1,1,1
0,16,19,0,1,1
0,13,12,0,1,1
1,9,34,1,9,3
24,142,199,2,1,1
2,58,52,2,5,5
3,27,30,3,2,3
0,28,30,0,2,3
33,250,354,3,2,3
5,80,93,5,8,9
3,55,55,3,5,5
5,28,55,5,2,5
1,39,33,1,3,3
2,50,44,2,5,4
1,15,29,1,1,2
5,72,32,5,7,3
3,41,52,3,4,5
2,57,57,2,5,5
47,496,776,4,4,7
15,291,714,1,2,7
16,323,532,1,3,5
29,461,708,2,4,7
11,51,133,1,5,1
5,93,218,5,9,2
10,55,207,1,5,2
26,258,620,2,2,6
21,261,466,2,2,4
18,602,541,1,6,5
13,233,356,1,2,3
11,133,221,1,1,2
24,297,392,2,2,3
18,409,582,1,4,5
0,20,51,0,2,5
0,0,2,0,0,2
3,33,29,3,3,2
8,362,352,8,3,3
4,93,121,4,9,1
3,88,65,3,8,6
6,86,79,6,8,7
0,27,38,0,2,3
1,30,43,1,3,4
4,47,52,4,4,5
1,45,122,1,4,1
0,25,20,0,2,2
2,13,17,2,1,1
14,146,180,1,1,1
5,29,17,5,2,1
6,93,71,6,9,7
1,25,12,1,2,1
11,169,135,1,1,1
9,62,40,9,6,4
7,78,43,7,7,4
2,31,27,2,3,2
3,36,59,3,3,5
1,17,11,1,1,1
0,2,0,0,2,0
0,1,0,0,1,0
2,77,52,2,7,5
4,34,28,4,3,2
2,14,45,2,1,4
6,85,52,6,8,5
1,4,10,1,4,1
3,55,21,3,5,2
7,56,52,7,5,5
14,92,61,1,9,6
0,92,60,0,9,6
7,103,69,7,1,6
2,35,8,2,3,8
6,14,22,6,1,2
6,111,54,6,1,5
2,42,26,2,4,2
1,17,24,1,1,2
0,1,0,0,1,0
1,15,17,1,1,1
0,38,112,0,3,1
6,98,221,6,9,2
12,78,224,1,7,2
6,28,100,6,2,1
3,83,110,3,8,1
9,103,189,9,1,1
5,90,175,5,9,1
10,119,178,1,1,1
1,38,63,1,3,6
1,39,86,1,3,8
2,40,87,2,4,8
0,31,79,0,3,7
7,160,228,7,1,2
5,40,25,5,4,2
0,40,19,0,4,1
0,36,37,0,3,3
2,19,34,2,1,3
3,81,36,3,8,3
1,2,4,1,2,4
1,35,37,1,3,3
2,30,17,2,3,1
2,29,15,2,2,1
3,26,11,3,2,1
4,73,75,4,7,7
5,39,32,5,3,3
3,23,62,3,2,6
1,69,54,1,6,5
3,80,43,3,8,4
33,394,278,3,3,2
2,52,30,2,5,3
3,33,21,3,3,2
0,36,27,0,3,2
1,19,12,1,1,1
3,21,31,3,2,3
4,36,47,4,3,4
3,53,25,3,5,2
9,96,155,9,9,1
3,51,46,3,5,4
12,193,190,1,1,1
17,231,264,1,2,2
15,113,168,1,1,1
18,127,187,1,1,1
24,598,570,2,5,5
28,411,373,2,4,3
18,443,361,1,4,3
17,361,305,1,3,3
11,287,228,1,2,2
15,150,196,1,1,1
18,364,404,1,3,4
15,221,279,1,2,2
12,203,285,1,2,2
24,172,209,2,1,2
13,232,293,1,2,2
0,0,2,0,0,2
29,209,256,2,2,2
23,143,177,2,1,1
16,597,438,1,5,4
9,240,205,9,2,2
18,200,301,1,2,3
14,103,189,1,1,1
9,459,295,9,4,2
7,284,241,7,2,2
31,402,280,3,4,2
0,5,1,0,5,1
2,50,63,2,5,6
10,112,87,1,1,8
17,374,270,1,3,2
3,22,16,3,2,1
6,99,84,6,9,8
17,391,341,1,3,3
8,236,182,8,2,1
3,81,77,3,8,7
10,143,96,1,1,9
2,14,15,2,1,1
14,204,173,1,2,1
5,22,5,5,2,5
3,37,61,3,3,6
7,199,200,7,1,2
14,410,230,1,4,2
11,282,222,1,2,2
2,13,22,2,1,2
6,67,139,6,6,1
7,74,60,7,7,6
6,147,73,6,1,7
24,545,410,2,5,4
24,580,450,2,5,4
1,11,14,1,1,1
16,240,221,1,2,2
1,25,15,1,2,1
8,148,146,8,1,1
11,236,189,1,2,1
18,605,416,1,6,4
16,167,170,1,1,1
34,378,365,3,3,3
7,174,71,7,1,7
18,422,347,1,4,3
3,68,69,3,6,6
3,61,46,3,6,4
6,82,76,6,8,7
10,117,98,1,1,9
3,45,64,3,4,6
6,148,93,6,1,9
0,45,29,0,4,2
1,10,23,1,1,2
3,91,109,3,9,1
20,456,324,2,4,3
17,539,553,1,5,5
16,490,494,1,4,4
15,437,547,1,4,5
18,452,637,1,4,6
12,632,598,1,6,5
33,973,841,3,9,8
16,308,425,1,3,4
15,610,673,1,6,6
22,704,782,2,7,7
22,749,727,2,7,7
20,593,690,2,5,6
32,607,707,3,6,7
22,640,723,2,6,7
15,470,494,1,4,4
19,381,509,1,3,5
8,337,422,8,3,4
33,781,828,3,7,8
24,473,500,2,4,5
30,461,532,3,4,5
27,623,771,2,6,7
14,254,436,1,2,4
20,500,695,2,5,6
13,584,601,1,5,6
40,892,1045,4,8,1
18,525,447,1,5,4
17,673,791,1,6,7
18,596,607,1,5,6
12,451,464,1,4,4
32,569,697,3,5,6
19,563,691,1,5,6
18,811,799,1,8,7
26,626,625,2,6,6
20,452,472,2,4,4
25,337,229,2,3,2
3,32,25,3,3,2
15,182,104,1,1,1
9,236,283,9,2,2
35,575,884,3,5,8
20,580,675,2,5,6
33,549,788,3,5,7
24,755,896,2,7,8
23,536,680,2,5,6
14,415,635,1,4,6
38,849,983,3,8,9
32,843,874,3,8,8
26,840,866,2,8,8
21,643,841,2,6,8
9,368,397,9,3,3
24,363,500,2,3,5
14,358,516,1,3,5
17,362,504,1,3,5
26,697,973,2,6,9
11,596,663,1,5,6
20,543,575,2,5,5
26,807,760,2,8,7
16,673,599,1,6,5
21,518,356,2,5,3
13,400,227,1,4,2
22,253,309,2,2,3
37,545,494,3,5,4
25,604,439,2,6,4
32,829,553,3,8,5
34,608,480,3,6,4
21,598,409,2,5,4
12,168,131,1,1,1
14,120,87,1,1,8
7,213,141,7,2,1
24,334,472,2,3,4
30,382,436,3,3,4
24,385,427,2,3,4
32,489,517,3,4,5
21,478,606,2,4,6
28,429,545,2,4,5
39,606,538,3,6,5
23,413,415,2,4,4
31,674,650,3,6,6
17,671,528,1,6,5
29,812,618,2,8,6
21,680,843,2,6,8
39,646,816,3,6,8
29,467,656,2,4,6
36,422,633,3,4,6
33,544,746,3,5,7
20,191,394,2,1,3
24,426,557,2,4,5
22,518,497,2,5,4
14,899,617,1,8,6
22,626,513,2,6,5
20,683,473,2,6,4
13,667,482,1,6,4
14,712,443,1,7,4
